iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-11T11:50:08.046,1789107608.0470,1,-21,-0.27,453,5.81
2026-09-11T11:50:08.050,1789107608.0510,2,-168,-2.15,442,5.67
2026-09-11T11:50:08.054,1789107608.0543,3,-12,-0.15,442,5.67
2026-09-11T11:50:08.066,1789107608.0665,4,288,3.69,456,5.85
2026-09-11T11:50:08.066,1789107608.0665,5,235,3.01,456,5.85
2026-09-11T11:50:08.072,1789107608.0724,6,-169,-2.17,457,5.86
2026-09-11T11:50:08.074,1789107608.0745,7,3,0.04,457,5.86
2026-09-11T11:50:08.082,1789107608.0826,8,295,3.78,464,5.95
2026-09-11T11:50:08.107,1789107608.1076,9,218,2.79,464,5.95
2026-09-11T11:50:08.109,1789107608.1096,10,-162,-2.08,457,5.86
2026-09-11T11:50:08.111,1789107608.1116,11,26,0.33,457,5.86
2026-09-11T11:50:08.114,1789107608.1146,12,302,3.87,464,5.95
2026-09-11T11:50:08.119,1789107608.1196,13,185,2.37,464,5.95
2026-09-11T11:50:08.128,1789107608.1286,14,-132,-1.69,434,5.56
2026-09-11T11:50:08.133,1789107608.1336,15,61,0.78,434,5.56
2026-09-11T11:50:08.137,1789107608.1376,16,321,4.12,453,5.81
2026-09-11T11:50:08.139,1789107608.1396,17,176,2.26,453,5.81
2026-09-11T11:50:08.141,1789107608.1416,18,-121,-1.55,442,5.67
2026-09-11T11:50:08.142,1789107608.1426,19,132,1.69,442,5.67
2026-09-11T11:50:08.145,1789107608.1456,20,359,4.6,480,6.15
2026-09-11T11:50:08.148,1789107608.1486,21,190,2.44,480,6.15
2026-09-11T11:50:08.151,1789107608.1516,22,-115,-1.47,474,6.08
2026-09-11T11:50:08.158,1789107608.1588,23,-46,-0.59,474,6.08
2026-09-11T11:50:08.166,1789107608.1669,24,361,4.63,476,6.1
2026-09-11T11:50:08.168,1789107608.1689,25,176,2.26,476,6.1
2026-09-11T11:50:08.173,1789107608.1731,26,-121,-1.55,482,6.18
2026-09-11T11:50:08.180,1789107608.1802,27,-32,-0.41,482,6.18
2026-09-11T11:50:08.180,1789107608.1802,28,351,4.5,472,6.05
2026-09-11T11:50:08.185,1789107608.1854,29,137,1.76,472,6.05
