iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv
2026-09-09T12:48:30.843,1788938310.8435,1,674,8.64
2026-09-09T12:48:30.855,1788938310.8559,2,-3575,-45.83
2026-09-09T12:48:30.869,1788938310.8690,3,563,7.22
2026-09-09T12:48:30.879,1788938310.8791,4,-3511,-45.01
2026-09-09T12:48:30.879,1788938310.8791,5,695,8.91
2026-09-09T12:48:30.897,1788938310.8970,6,-3829,-49.09
2026-09-09T12:48:30.897,1788938310.8970,7,950,12.18
2026-09-09T12:48:30.913,1788938310.9139,8,-3588,-46.0
2026-09-09T12:48:30.913,1788938310.9139,9,3460,44.36
2026-09-09T12:48:30.929,1788938310.9291,10,-2883,-36.96
2026-09-09T12:48:30.942,1788938310.9429,11,3155,40.45
2026-09-09T12:48:30.958,1788938310.9584,12,-2203,-28.24
2026-09-09T12:48:30.958,1788938310.9584,13,2902,37.21
2026-09-09T12:48:30.981,1788938310.9814,14,-1806,-23.15
2026-09-09T12:48:30.986,1788938310.9868,15,2592,33.23
2026-09-09T12:48:30.993,1788938310.9936,16,-1530,-19.62
2026-09-09T12:48:31.005,1788938311.0055,17,2337,29.96
2026-09-09T12:48:31.014,1788938311.0140,18,-1289,-16.53
2026-09-09T12:48:31.023,1788938311.0232,19,2060,26.41
2026-09-09T12:48:31.023,1788938311.0232,20,-3810,-48.85
2026-09-09T12:48:31.036,1788938311.0369,21,1816,23.28
2026-09-09T12:48:31.058,1788938311.0590,22,-3574,-45.82
2026-09-09T12:48:31.062,1788938311.0622,23,1608,20.62
2026-09-09T12:48:31.068,1788938311.0685,24,-3259,-41.78
2026-09-09T12:48:31.084,1788938311.0843,25,1365,17.5
2026-09-09T12:48:31.097,1788938311.0979,26,-2928,-37.54
2026-09-09T12:48:31.100,1788938311.1004,27,1076,13.79
2026-09-09T12:48:31.116,1788938311.1162,28,-2630,-33.72
2026-09-09T12:48:31.122,1788938311.1222,29,3405,43.65
2026-09-09T12:48:31.132,1788938311.1320,30,-2361,-30.27
2026-09-09T12:48:31.147,1788938311.1477,31,3222,41.31
2026-09-09T12:48:31.147,1788938311.1477,32,-2057,-26.37
2026-09-09T12:48:31.164,1788938311.1646,33,2967,38.04
2026-09-09T12:48:31.179,1788938311.1793,34,-1793,-22.99
2026-09-09T12:48:31.179,1788938311.1793,35,2688,34.46
2026-09-09T12:48:31.195,1788938311.1951,36,-1454,-18.64
2026-09-09T12:48:31.195,1788938311.1951,37,2400,30.77
2026-09-09T12:48:31.214,1788938311.2144,38,-1126,-14.44
2026-09-09T12:48:31.214,1788938311.2144,39,2154,27.62
2026-09-09T12:48:31.239,1788938311.2391,40,-3633,-46.58
2026-09-09T12:48:31.242,1788938311.2425,41,1891,24.24
2026-09-09T12:48:31.247,1788938311.2476,42,-3356,-43.03
2026-09-09T12:48:31.262,1788938311.2622,43,1653,21.19
2026-09-09T12:48:31.274,1788938311.2740,44,-3039,-38.96
2026-09-09T12:48:31.274,1788938311.2740,45,1419,18.19
2026-09-09T12:48:31.293,1788938311.2939,46,-2671,-34.24
2026-09-09T12:48:31.305,1788938311.3057,47,1159,14.86
2026-09-09T12:48:31.319,1788938311.3190,48,-2336,-29.95
2026-09-09T12:48:31.325,1788938311.3251,49,3540,45.38
2026-09-09T12:48:31.337,1788938311.3375,50,-2032,-26.05
2026-09-09T12:48:31.346,1788938311.3460,51,3333,42.73
2026-09-09T12:48:31.354,1788938311.3542,52,-1724,-22.1
2026-09-09T12:48:31.354,1788938311.3542,53,3093,39.65
2026-09-09T12:48:31.369,1788938311.3699,54,-1473,-18.88
2026-09-09T12:48:31.369,1788938311.3699,55,2785,35.71
2026-09-09T12:48:31.401,1788938311.4015,56,-1186,-15.21
2026-09-09T12:48:31.401,1788938311.4015,57,2494,31.97
2026-09-09T12:48:31.417,1788938311.4173,58,-854,-10.95
2026-09-09T12:48:31.426,1788938311.4265,59,2200,28.21
2026-09-09T12:48:31.435,1788938311.4359,60,-3430,-43.97
2026-09-09T12:48:31.444,1788938311.4444,61,1936,24.82
2026-09-09T12:48:31.445,1788938311.4459,62,-3191,-40.91
2026-09-09T12:48:31.467,1788938311.4679,63,1660,21.28
2026-09-09T12:48:31.477,1788938311.4775,64,-2928,-37.54
2026-09-09T12:48:31.483,1788938311.4837,65,1404,18.0
2026-09-09T12:48:31.494,1788938311.4947,66,-2633,-33.76
2026-09-09T12:48:31.508,1788938311.5084,67,1120,14.36
2026-09-09T12:48:31.514,1788938311.5142,68,-2391,-30.65
2026-09-09T12:48:31.526,1788938311.5264,69,3565,45.71
2026-09-09T12:48:31.539,1788938311.5399,70,-2129,-27.29
2026-09-09T12:48:31.539,1788938311.5399,71,3368,43.18
2026-09-09T12:48:31.555,1788938311.5560,72,-1939,-24.86
2026-09-09T12:48:31.563,1788938311.5630,73,3158,40.49
2026-09-09T12:48:31.578,1788938311.5789,74,-1754,-22.49
2026-09-09T12:48:31.585,1788938311.5858,75,2933,37.6
2026-09-09T12:48:31.594,1788938311.5949,76,-1468,-18.82
2026-09-09T12:48:31.602,1788938311.6029,77,2704,34.67
2026-09-09T12:48:31.620,1788938311.6209,78,-4202,-53.87
2026-09-09T12:48:31.620,1788938311.6209,79,2432,31.18
2026-09-09T12:48:31.634,1788938311.6348,80,-4038,-51.77
2026-09-09T12:48:31.640,1788938311.6407,81,2174,27.87
2026-09-09T12:48:31.652,1788938311.6530,82,-3720,-47.69
2026-09-09T12:48:31.663,1788938311.6639,83,1939,24.86
2026-09-09T12:48:31.672,1788938311.6726,84,-3380,-43.33
2026-09-09T12:48:31.682,1788938311.6827,85,1696,21.74
2026-09-09T12:48:31.682,1788938311.6827,86,-3020,-38.72
2026-09-09T12:48:31.716,1788938311.7162,87,1400,17.95
2026-09-09T12:48:31.724,1788938311.7240,88,-2658,-34.08
2026-09-09T12:48:31.724,1788938311.7240,89,4030,51.67
2026-09-09T12:48:31.730,1788938311.7310,90,-2310,-29.62
2026-09-09T12:48:31.748,1788938311.7481,91,3810,48.85
2026-09-09T12:48:31.756,1788938311.7568,92,-1975,-25.32
2026-09-09T12:48:31.767,1788938311.7673,93,3469,44.47
2026-09-09T12:48:31.770,1788938311.7704,94,-1668,-21.38
2026-09-09T12:48:31.786,1788938311.7861,95,3125,40.06
2026-09-09T12:48:31.793,1788938311.7935,96,-1325,-16.99
2026-09-09T12:48:31.801,1788938311.8018,97,2818,36.13
2026-09-09T12:48:31.825,1788938311.8259,98,-4057,-52.01
2026-09-09T12:48:31.825,1788938311.8259,99,2488,31.9
2026-09-09T12:48:31.833,1788938311.8334,100,-3874,-49.67
2026-09-09T12:48:31.849,1788938311.8494,101,2179,27.94
2026-09-09T12:48:31.851,1788938311.8515,102,-3615,-46.35
2026-09-09T12:48:31.865,1788938311.8651,103,1916,24.56
2026-09-09T12:48:31.874,1788938311.8742,104,-3291,-42.19
2026-09-09T12:48:31.880,1788938311.8810,105,1648,21.13
2026-09-09T12:48:31.896,1788938311.8967,106,-2996,-38.41
2026-09-09T12:48:31.903,1788938311.9037,107,1312,16.82
2026-09-09T12:48:31.912,1788938311.9128,108,-2673,-34.27
2026-09-09T12:48:31.928,1788938311.9285,109,3998,51.26
2026-09-09T12:48:31.930,1788938311.9305,110,-2364,-30.31
2026-09-09T12:48:31.944,1788938311.9446,111,3775,48.4
2026-09-09T12:48:31.959,1788938311.9599,112,-2064,-26.46
2026-09-09T12:48:31.959,1788938311.9599,113,3480,44.62
2026-09-09T12:48:31.975,1788938311.9758,114,-1733,-22.22
2026-09-09T12:48:31.984,1788938311.9846,115,3141,40.27
2026-09-09T12:48:31.997,1788938311.9978,116,-1404,-18.0
2026-09-09T12:48:32.003,1788938312.0032,117,2846,36.49
2026-09-09T12:48:32.015,1788938312.0151,118,-4180,-53.59
2026-09-09T12:48:32.033,1788938312.0338,119,2529,32.42
2026-09-09T12:48:32.039,1788938312.0393,120,-3953,-50.68
2026-09-09T12:48:32.049,1788938312.0495,121,2233,28.63
2026-09-09T12:48:32.054,1788938312.0542,122,-3645,-46.73
2026-09-09T12:48:32.065,1788938312.0654,123,1933,24.78
2026-09-09T12:48:32.073,1788938312.0735,124,-3289,-42.17
2026-09-09T12:48:32.081,1788938312.0812,125,1638,21.0
2026-09-09T12:48:32.096,1788938312.0969,126,-2998,-38.44
2026-09-09T12:48:32.102,1788938312.1030,127,1293,16.58
2026-09-09T12:48:32.112,1788938312.1128,128,-2636,-33.79
2026-09-09T12:48:32.130,1788938312.1308,129,4035,51.73
2026-09-09T12:48:32.130,1788938312.1308,130,-2308,-29.59
2026-09-09T12:48:32.148,1788938312.1482,131,3787,48.55
2026-09-09T12:48:32.148,1788938312.1482,132,-1996,-25.59
2026-09-09T12:48:32.160,1788938312.1604,133,3443,44.14
2026-09-09T12:48:32.176,1788938312.1760,134,-1693,-21.71
2026-09-09T12:48:32.183,1788938312.1835,135,3116,39.95
2026-09-09T12:48:32.192,1788938312.1922,136,-1357,-17.4
2026-09-09T12:48:32.207,1788938312.2080,137,2774,35.56
2026-09-09T12:48:32.212,1788938312.2129,138,-4215,-54.04
2026-09-09T12:48:32.229,1788938312.2300,139,2465,31.6
2026-09-09T12:48:32.240,1788938312.2409,140,-3947,-50.6
2026-09-09T12:48:32.246,1788938312.2461,141,2118,27.15
2026-09-09T12:48:32.256,1788938312.2560,142,-3646,-46.74
2026-09-09T12:48:32.266,1788938312.2660,143,1796,23.03
2026-09-09T12:48:32.275,1788938312.2755,144,-3265,-41.86
2026-09-09T12:48:32.281,1788938312.2818,145,1457,18.68
2026-09-09T12:48:32.293,1788938312.2934,146,-2901,-37.19
2026-09-09T12:48:32.303,1788938312.3032,147,1077,13.81
2026-09-09T12:48:32.316,1788938312.3165,148,-2547,-32.65
2026-09-09T12:48:32.319,1788938312.3191,149,3772,48.36
2026-09-09T12:48:32.334,1788938312.3348,150,-2157,-27.65
2026-09-09T12:48:32.350,1788938312.3504,151,3453,44.27
2026-09-09T12:48:32.354,1788938312.3544,152,-1817,-23.29
2026-09-09T12:48:32.366,1788938312.3664,153,3094,39.67
2026-09-09T12:48:32.366,1788938312.3664,154,-1488,-19.08
2026-09-09T12:48:32.384,1788938312.3842,155,2797,35.86
2026-09-09T12:48:32.397,1788938312.3979,156,-1150,-14.74
2026-09-09T12:48:32.403,1788938312.4039,157,2516,32.26
2026-09-09T12:48:32.416,1788938312.4169,158,-3932,-50.41
2026-09-09T12:48:32.416,1788938312.4169,159,2271,29.12
2026-09-09T12:48:32.429,1788938312.4290,160,-3656,-46.87
2026-09-09T12:48:32.446,1788938312.4470,161,2051,26.29
2026-09-09T12:48:32.446,1788938312.4470,162,-3353,-42.99
2026-09-09T12:48:32.462,1788938312.4627,163,1779,22.81
2026-09-09T12:48:32.476,1788938312.4764,164,-3018,-38.69
2026-09-09T12:48:32.492,1788938312.4922,165,1470,18.85
2026-09-09T12:48:32.492,1788938312.4922,166,-2669,-34.22
2026-09-09T12:48:32.503,1788938312.5036,167,1068,13.69
2026-09-09T12:48:32.516,1788938312.5169,168,-2357,-30.22
2026-09-09T12:48:32.523,1788938312.5236,169,3840,49.23
2026-09-09T12:48:32.534,1788938312.5344,170,-2061,-26.42
2026-09-09T12:48:32.549,1788938312.5495,171,3548,45.49
2026-09-09T12:48:32.555,1788938312.5552,172,-1766,-22.64
2026-09-09T12:48:32.559,1788938312.5591,173,3192,40.92
2026-09-09T12:48:32.573,1788938312.5739,174,-1466,-18.79
