iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_notch,q1_notch_mv
2026-09-09T14:27:15.560,1788944235.5605,1,-7916,-101.49,-7916,-101.49
2026-09-09T14:27:15.568,1788944235.5687,2,3471,44.5,-5070,-65.0
2026-09-09T14:27:15.574,1788944235.5749,3,1500,19.23,131,1.68
2026-09-09T14:27:15.578,1788944235.5788,4,-5301,-67.96,292,3.74
2026-09-09T14:27:15.583,1788944235.5832,5,7413,95.04,-423,-5.42
2026-09-09T14:27:15.593,1788944235.5935,6,-4397,-56.37,1282,16.44
2026-09-09T14:27:15.599,1788944235.5999,7,7071,90.65,1422,18.23
2026-09-09T14:27:15.610,1788944235.6107,8,-3513,-45.04,1558,19.97
2026-09-09T14:27:15.618,1788944235.6185,9,6580,84.36,1656,21.23
2026-09-09T14:27:15.627,1788944235.6270,10,-2663,-34.14,1746,22.38
2026-09-09T14:27:15.644,1788944235.6443,11,6029,77.29,1820,23.33
2026-09-09T14:27:15.658,1788944235.6583,12,-1768,-22.67,1906,24.44
2026-09-09T14:27:15.660,1788944235.6603,13,5466,70.08,1989,25.5
2026-09-09T14:27:15.674,1788944235.6747,14,-8571,-109.88,148,1.9
2026-09-09T14:27:15.682,1788944235.6825,15,4832,61.95,-1711,-21.94
2026-09-09T14:27:15.695,1788944235.6956,16,-8170,-104.74,-1770,-22.69
2026-09-09T14:27:15.702,1788944235.7026,17,4194,53.77,-1829,-23.45
2026-09-09T14:27:15.710,1788944235.7110,18,-7589,-97.29,-1843,-23.63
2026-09-09T14:27:15.720,1788944235.7202,19,3532,45.28,-1863,-23.88
2026-09-09T14:27:15.731,1788944235.7319,20,-6857,-87.91,-1846,-23.67
2026-09-09T14:27:15.741,1788944235.7412,21,2828,36.26,-1839,-23.58
2026-09-09T14:27:15.752,1788944235.7525,22,-6026,-77.26,-1807,-23.17
2026-09-09T14:27:15.759,1788944235.7599,23,2064,26.46,-1790,-22.95
2026-09-09T14:27:15.769,1788944235.7691,24,-5214,-66.85,-1778,-22.79
2026-09-09T14:27:15.781,1788944235.7818,25,7725,99.04,-160,-2.05
2026-09-09T14:27:15.784,1788944235.7847,26,-4429,-56.78,1451,18.6
2026-09-09T14:27:15.799,1788944235.7996,27,7358,94.33,1556,19.95
2026-09-09T14:27:15.818,1788944235.8182,28,-3625,-46.47,1665,21.35
2026-09-09T14:27:15.824,1788944235.8244,29,6808,87.28,1729,22.17
2026-09-09T14:27:15.827,1788944235.8272,30,-2789,-35.76,1800,23.08
2026-09-09T14:27:15.844,1788944235.8447,31,6211,79.63,1860,23.85
2026-09-09T14:27:15.850,1788944235.8504,32,-1975,-25.32,1914,24.54
2026-09-09T14:27:15.867,1788944235.8674,33,5556,71.23,1954,25.05
2026-09-09T14:27:15.874,1788944235.8744,34,-8689,-111.4,112,1.44
2026-09-09T14:27:15.876,1788944235.8762,35,4919,63.06,-1726,-22.13
2026-09-09T14:27:15.890,1788944235.8901,36,-8371,-107.32,-1806,-23.15
2026-09-09T14:27:15.900,1788944235.9003,37,4263,54.65,-1890,-24.23
2026-09-09T14:27:15.910,1788944235.9108,38,-7877,-100.99,-1931,-24.76
2026-09-09T14:27:15.918,1788944235.9186,39,3587,45.99,-1976,-25.33
2026-09-09T14:27:15.926,1788944235.9261,40,-7178,-92.03,-1971,-25.27
2026-09-09T14:27:15.934,1788944235.9349,41,2871,36.81,-1975,-25.32
2026-09-09T14:27:15.949,1788944235.9494,42,-6392,-81.95,-1957,-25.09
2026-09-09T14:27:15.967,1788944235.9679,43,7969,102.17,-486,-6.23
2026-09-09T14:27:15.976,1788944235.9763,44,-5576,-71.49,992,12.72
2026-09-09T14:27:15.986,1788944235.9864,45,7709,98.83,1131,14.5
2026-09-09T14:27:15.995,1788944235.9953,46,-4745,-60.83,1274,16.33
2026-09-09T14:27:16.001,1788944236.0013,47,7333,94.01,1388,17.79
