iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-10T11:14:54.234,1789019094.2346,1,3110,39.87,7145,91.6
2026-09-10T11:14:54.245,1789019094.2457,2,-3857,-49.45,7091,90.91
2026-09-10T11:14:54.246,1789019094.2467,3,-1118,-14.33,7091,90.91
2026-09-10T11:14:54.251,1789019094.2517,4,3610,46.28,7467,95.73
2026-09-10T11:14:54.253,1789019094.2537,5,2832,36.31,7467,95.73
2026-09-10T11:14:54.276,1789019094.2762,6,-3748,-48.05,7358,94.33
2026-09-10T11:14:54.285,1789019094.2857,7,-746,-9.56,7358,94.33
2026-09-10T11:14:54.287,1789019094.2877,8,3897,49.96,7645,98.01
2026-09-10T11:14:54.294,1789019094.2947,9,2570,32.95,7645,98.01
2026-09-10T11:14:54.295,1789019094.2957,10,-3555,-45.58,7452,95.54
2026-09-10T11:14:54.303,1789019094.3039,11,-357,-4.58,7452,95.54
2026-09-10T11:14:54.309,1789019094.3094,12,4097,52.53,7652,98.1
2026-09-10T11:14:54.313,1789019094.3134,13,2301,29.5,7652,98.1
2026-09-10T11:14:54.316,1789019094.3164,14,-1980,-25.38,6077,77.91
2026-09-10T11:14:54.317,1789019094.3179,15,4,0.05,6077,77.91
2026-09-10T11:14:54.319,1789019094.3196,16,4168,53.44,6148,78.82
2026-09-10T11:14:54.322,1789019094.3226,17,2012,25.79,6148,78.82
2026-09-10T11:14:54.324,1789019094.3246,18,-2552,-32.72,6720,86.15
2026-09-10T11:14:54.328,1789019094.3287,19,378,4.85,6720,86.15
2026-09-10T11:14:54.334,1789019094.3345,20,4164,53.38,6716,86.1
2026-09-10T11:14:54.336,1789019094.3369,21,1704,21.85,6716,86.1
2026-09-10T11:14:54.345,1789019094.3457,22,-3023,-38.76,7187,92.14
2026-09-10T11:14:54.349,1789019094.3493,23,-2727,-34.96,7187,92.14
2026-09-10T11:14:54.350,1789019094.3503,24,4097,52.53,7120,91.28
2026-09-10T11:14:54.355,1789019094.3553,25,1389,17.81,7120,91.28
2026-09-10T11:14:54.365,1789019094.3653,26,-3413,-43.76,7510,96.28
2026-09-10T11:14:54.366,1789019094.3668,27,-2451,-31.42,7510,96.28
2026-09-10T11:14:54.367,1789019094.3678,28,3945,50.58,7358,94.33
2026-09-10T11:14:54.373,1789019094.3738,29,1009,12.94,7358,94.33
2026-09-10T11:14:54.385,1789019094.3854,30,-3690,-47.31,7635,97.88
2026-09-10T11:14:54.389,1789019094.3894,31,-2168,-27.79,7635,97.88
2026-09-10T11:14:54.399,1789019094.3992,32,1932,24.77,5622,72.08
2026-09-10T11:14:54.400,1789019094.4008,33,614,7.87,5622,72.08
2026-09-10T11:14:54.405,1789019094.4056,34,-3888,-49.85,5820,74.62
2026-09-10T11:14:54.405,1789019094.4056,35,-1893,-24.27,5820,74.62
2026-09-10T11:14:54.409,1789019094.4092,36,2515,32.24,6403,82.09
2026-09-10T11:14:54.420,1789019094.4206,37,191,2.45,6403,82.09
2026-09-10T11:14:54.427,1789019094.4276,38,-4009,-51.4,6524,83.64
2026-09-10T11:14:54.432,1789019094.4326,39,-1630,-20.9,6524,83.64
2026-09-10T11:14:54.435,1789019094.4359,40,2993,38.37,7002,89.77
2026-09-10T11:14:54.440,1789019094.4405,41,3089,39.6,7098,91.0
2026-09-10T11:14:54.444,1789019094.4445,42,-4042,-51.82,7131,91.42
2026-09-10T11:14:54.446,1789019094.4468,43,-1370,-17.56,7131,91.42
2026-09-10T11:14:54.453,1789019094.4531,44,3335,42.76,7377,94.58
2026-09-10T11:14:54.454,1789019094.4547,45,2750,35.26,7377,94.58
2026-09-10T11:14:54.462,1789019094.4621,46,-4006,-51.36,7341,94.12
2026-09-10T11:14:54.463,1789019094.4631,47,-1094,-14.03,7341,94.12
2026-09-10T11:14:54.471,1789019094.4712,48,3618,46.38,7624,97.74
2026-09-10T11:14:54.481,1789019094.4811,49,2464,31.59,7624,97.74
2026-09-10T11:14:54.484,1789019094.4846,50,-3860,-49.49,7478,95.87
2026-09-10T11:14:54.488,1789019094.4883,51,-725,-9.29,7478,95.87
2026-09-10T11:14:54.496,1789019094.4963,52,3822,49.0,7682,98.49
2026-09-10T11:14:54.499,1789019094.4993,53,2167,27.78,7682,98.49
2026-09-10T11:14:54.502,1789019094.5023,54,-2006,-25.72,5828,74.72
2026-09-10T11:14:54.506,1789019094.5064,55,-304,-3.9,5828,74.72
2026-09-10T11:14:54.513,1789019094.5131,56,3958,50.74,5964,76.46
2026-09-10T11:14:54.515,1789019094.5156,57,1902,24.38,5964,76.46
