iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-09T15:22:52.696,1788947572.6963,1,1052,13.49,2463,31.58
2026-09-09T15:22:52.707,1788947572.7076,2,-344,-4.41,2463,31.58
2026-09-09T15:22:52.716,1788947572.7166,3,-289,-3.71,2317,29.71
2026-09-09T15:22:52.736,1788947572.7361,4,887,11.37,1476,18.92
2026-09-09T15:22:52.738,1788947572.7381,5,-513,-6.58,1565,20.06
2026-09-09T15:22:52.738,1788947572.7381,6,-138,-1.77,1400,17.95
2026-09-09T15:22:52.754,1788947572.7542,7,1299,16.65,1812,23.23
2026-09-09T15:22:52.762,1788947572.7623,8,-681,-8.73,1980,25.38
2026-09-09T15:22:52.762,1788947572.7623,9,-45,-0.58,1980,25.38
2026-09-09T15:22:52.769,1788947572.7699,10,1227,15.73,1980,25.38
2026-09-09T15:22:52.769,1788947572.7699,11,-872,-11.18,2171,27.83
2026-09-09T15:22:52.769,1788947572.7699,12,-1336,-17.13,2563,32.86
2026-09-09T15:22:52.769,1788947572.7699,13,1213,15.55,2563,32.86
2026-09-09T15:22:52.785,1788947572.7856,14,-1053,-13.5,2563,32.86
2026-09-09T15:22:52.785,1788947572.7856,15,-1321,-16.94,2549,32.68
2026-09-09T15:22:52.785,1788947572.7856,16,1148,14.72,2549,32.68
2026-09-09T15:22:52.801,1788947572.8013,17,91,1.17,2534,32.49
2026-09-09T15:22:52.801,1788947572.8013,18,-1236,-15.85,2469,31.65
2026-09-09T15:22:52.816,1788947572.8167,19,1099,14.09,2469,31.65
2026-09-09T15:22:52.816,1788947572.8167,20,-105,-1.35,2384,30.56
2026-09-09T15:22:52.816,1788947572.8167,21,-1128,-14.46,2335,29.94
2026-09-09T15:22:52.832,1788947572.8324,22,493,6.32,2335,29.94
2026-09-09T15:22:52.832,1788947572.8324,23,-293,-3.76,2227,28.55
2026-09-09T15:22:52.851,1788947572.8518,24,-1082,-13.87,1621,20.78
2026-09-09T15:22:52.857,1788947572.8578,25,630,8.08,1758,22.54
2026-09-09T15:22:52.864,1788947572.8641,26,-460,-5.9,1712,21.95
2026-09-09T15:22:52.864,1788947572.8641,27,-1531,-19.63,2161,27.71
2026-09-09T15:22:52.864,1788947572.8641,28,735,9.42,2266,29.05
2026-09-09T15:22:52.881,1788947572.8820,29,-555,-7.12,2266,29.05
2026-09-09T15:22:52.886,1788947572.8860,30,-1557,-19.96,2292,29.38
2026-09-09T15:22:52.895,1788947572.8957,31,920,11.79,2477,31.76
2026-09-09T15:22:52.895,1788947572.8957,32,785,10.06,2477,31.76
2026-09-09T15:22:52.895,1788947572.8957,33,-1532,-19.64,2477,31.76
2026-09-09T15:22:52.916,1788947572.9163,34,1092,14.0,2649,33.96
2026-09-09T15:22:52.921,1788947572.9217,35,728,9.33,2624,33.64
2026-09-09T15:22:52.927,1788947572.9276,36,-1389,-17.81,2624,33.64
2026-09-09T15:22:52.927,1788947572.9276,37,-259,-3.32,2624,33.64
2026-09-09T15:22:52.938,1788947572.9390,38,681,8.73,2481,31.81
2026-09-09T15:22:52.947,1788947572.9476,39,-1303,-16.71,2117,27.14
2026-09-09T15:22:52.950,1788947572.9501,40,-10,-0.13,2070,26.54
2026-09-09T15:22:52.959,1788947572.9592,41,601,7.71,1984,25.44
2026-09-09T15:22:52.959,1788947572.9592,42,-757,-9.71,1984,25.44
2026-09-09T15:22:52.975,1788947572.9753,43,178,2.28,1904,24.41
2026-09-09T15:22:52.979,1788947572.9792,44,1334,17.1,2091,26.81
2026-09-09T15:22:52.985,1788947572.9852,45,-885,-11.35,2219,28.45
2026-09-09T15:22:52.990,1788947572.9910,46,387,4.96,2219,28.45
2026-09-09T15:22:52.990,1788947572.9910,47,1341,17.19,2226,28.54
2026-09-09T15:22:53.006,1788947573.0068,48,-977,-12.53,2318,29.72
2026-09-09T15:22:53.009,1788947573.0095,49,-1033,-13.24,2374,30.44
2026-09-09T15:22:53.015,1788947573.0159,50,1349,17.29,2382,30.54
2026-09-09T15:22:53.022,1788947573.0228,51,-1049,-13.45,2398,30.74
2026-09-09T15:22:53.027,1788947573.0276,52,-889,-11.4,2398,30.74
2026-09-09T15:22:53.050,1788947573.0502,53,1351,17.32,2400,30.77
2026-09-09T15:22:53.054,1788947573.0546,54,-1114,-14.28,2465,31.6
2026-09-09T15:22:53.054,1788947573.0546,55,-726,-9.31,2465,31.6
2026-09-09T15:22:53.070,1788947573.0704,56,1357,17.4,2471,31.68
2026-09-09T15:22:53.070,1788947573.0704,57,-64,-0.82,2471,31.68
2026-09-09T15:22:53.070,1788947573.0704,58,-604,-7.74,2471,31.68
2026-09-09T15:22:53.086,1788947573.0865,59,1246,15.97,2083,26.71
2026-09-09T15:22:53.086,1788947573.0865,60,-190,-2.44,1961,25.14
2026-09-09T15:22:53.102,1788947573.1024,61,-429,-5.5,1850,23.72
2026-09-09T15:22:53.102,1788947573.1024,62,1205,15.45,1850,23.72
2026-09-09T15:22:53.102,1788947573.1024,63,-320,-4.1,1675,21.47
2026-09-09T15:22:53.118,1788947573.1185,64,-1263,-16.19,2468,31.64
2026-09-09T15:22:53.118,1788947573.1185,65,1271,16.29,2534,32.49
2026-09-09T15:22:53.118,1788947573.1185,66,-442,-5.67,2534,32.49
2026-09-09T15:22:53.118,1788947573.1185,67,-1284,-16.46,2555,32.76
2026-09-09T15:22:53.134,1788947573.1343,68,1314,16.85,2598,33.31
2026-09-09T15:22:53.134,1788947573.1343,69,-571,-7.32,2598,33.31
2026-09-09T15:22:53.152,1788947573.1521,70,-1232,-15.79,2598,33.31
2026-09-09T15:22:53.158,1788947573.1581,71,1352,17.33,2636,33.79
2026-09-09T15:22:53.164,1788947573.1648,72,671,8.6,2584,33.13
2026-09-09T15:22:53.171,1788947573.1717,73,-1201,-15.4,2584,33.13
2026-09-09T15:22:53.177,1788947573.1777,74,1371,17.58,2603,33.37
2026-09-09T15:22:53.182,1788947573.1828,75,530,6.79,2572,32.97
2026-09-09T15:22:53.191,1788947573.1910,76,-1153,-14.78,2572,32.97
2026-09-09T15:22:53.197,1788947573.1976,77,399,5.12,2572,32.97
2026-09-09T15:22:53.204,1788947573.2045,78,348,4.46,2524,32.36
2026-09-09T15:22:53.210,1788947573.2106,79,-961,-12.32,1683,21.58
2026-09-09T15:22:53.216,1788947573.2161,80,559,7.17,1712,21.95
2026-09-09T15:22:53.218,1788947573.2181,81,148,1.9,1520,19.49
2026-09-09T15:22:53.229,1788947573.2295,82,-1101,-14.12,1660,21.28
2026-09-09T15:22:53.229,1788947573.2295,83,691,8.86,1792,22.97
2026-09-09T15:22:53.229,1788947573.2295,84,1264,16.21,2365,30.32
2026-09-09T15:22:53.243,1788947573.2432,85,-1164,-14.92,2428,31.13
2026-09-09T15:22:53.251,1788947573.2513,86,851,10.91,2428,31.13
2026-09-09T15:22:53.263,1788947573.2635,87,1236,15.85,2428,31.13
2026-09-09T15:22:53.270,1788947573.2709,88,-1200,-15.38,2464,31.59
2026-09-09T15:22:53.280,1788947573.2809,89,-707,-9.06,2436,31.23
2026-09-09T15:22:53.288,1788947573.2881,90,1187,15.22,2436,31.23
2026-09-09T15:22:53.296,1788947573.2964,91,-1248,-16.0,2484,31.85
2026-09-09T15:22:53.305,1788947573.3059,92,-523,-6.71,2435,31.22
2026-09-09T15:22:53.314,1788947573.3140,93,1038,13.31,2435,31.22
2026-09-09T15:22:53.322,1788947573.3222,94,-358,-4.59,2435,31.22
2026-09-09T15:22:53.326,1788947573.3262,95,-363,-4.65,2286,29.31
2026-09-09T15:22:53.328,1788947573.3290,96,893,11.45,1561,20.01
2026-09-09T15:22:53.331,1788947573.3311,97,-478,-6.13,1516,19.44
2026-09-09T15:22:53.334,1788947573.3341,98,-191,-2.45,1371,17.58
2026-09-09T15:22:53.337,1788947573.3371,99,1246,15.97,1724,22.1
2026-09-09T15:22:53.337,1788947573.3371,100,-638,-8.18,1884,24.15
2026-09-09T15:22:53.353,1788947573.3531,101,-70,-0.9,1884,24.15
2026-09-09T15:22:53.353,1788947573.3531,102,1218,15.62,1884,24.15
2026-09-09T15:22:53.353,1788947573.3531,103,-817,-10.47,2063,26.45
2026-09-09T15:22:53.368,1788947573.3689,104,-1306,-16.74,2524,32.36
2026-09-09T15:22:53.380,1788947573.3806,105,1219,15.63,2525,32.37
2026-09-09T15:22:53.387,1788947573.3873,106,-943,-12.09,2525,32.37
2026-09-09T15:22:53.387,1788947573.3873,107,-1239,-15.88,2525,32.37
2026-09-09T15:22:53.397,1788947573.3974,108,1189,15.24,2525,32.37
2026-09-09T15:22:53.400,1788947573.4004,109,236,3.03,2458,31.51
2026-09-09T15:22:53.400,1788947573.4004,110,-1145,-14.68,2428,31.13
2026-09-09T15:22:53.418,1788947573.4185,111,1222,15.67,2461,31.55
2026-09-09T15:22:53.418,1788947573.4185,112,109,1.4,2367,30.35
2026-09-09T15:22:53.432,1788947573.4325,113,-991,-12.71,2367,30.35
2026-09-09T15:22:53.432,1788947573.4325,114,673,8.63,2367,30.35
2026-09-09T15:22:53.432,1788947573.4325,115,10,0.13,2213,28.37
2026-09-09T15:22:53.448,1788947573.4482,116,-1158,-14.85,1831,23.47
2026-09-09T15:22:53.453,1788947573.4533,117,845,10.83,2003,25.68
2026-09-09T15:22:53.463,1788947573.4639,118,-115,-1.47,2003,25.68
2026-09-09T15:22:53.463,1788947573.4639,119,-1222,-15.67,2067,26.5
2026-09-09T15:22:53.463,1788947573.4639,120,977,12.53,2199,28.19
2026-09-09T15:22:53.481,1788947573.4815,121,1145,14.68,2367,30.35
2026-09-09T15:22:53.481,1788947573.4815,122,-1322,-16.95,2467,31.63
2026-09-09T15:22:53.495,1788947573.4952,123,1085,13.91,2467,31.63
2026-09-09T15:22:53.495,1788947573.4952,124,1021,13.09,2467,31.63
2026-09-09T15:22:53.495,1788947573.4952,125,-1333,-17.09,2478,31.77
2026-09-09T15:22:53.513,1788947573.5134,126,1158,14.85,2491,31.94
2026-09-09T15:22:53.513,1788947573.5134,127,881,11.29,2491,31.94
2026-09-09T15:22:53.527,1788947573.5274,128,-1368,-17.54,2526,32.38
2026-09-09T15:22:53.527,1788947573.5274,129,-303,-3.88,2526,32.38
2026-09-09T15:22:53.527,1788947573.5274,130,750,9.62,2526,32.38
2026-09-09T15:22:53.553,1788947573.5536,131,-609,-7.81,2249,28.83
2026-09-09T15:22:53.559,1788947573.5599,132,-62,-0.79,2118,27.15
2026-09-09T15:22:53.559,1788947573.5599,133,617,7.91,1359,17.42
2026-09-09T15:22:53.559,1788947573.5599,134,-729,-9.35,1479,18.96
2026-09-09T15:22:53.559,1788947573.5599,135,135,1.73,1346,17.26
2026-09-09T15:22:53.577,1788947573.5773,136,1298,16.64,2027,25.99
2026-09-09T15:22:53.577,1788947573.5773,137,-833,-10.68,2131,27.32
2026-09-09T15:22:53.577,1788947573.5773,138,315,4.04,2131,27.32
2026-09-09T15:22:53.591,1788947573.5914,139,1318,16.9,2151,27.58
2026-09-09T15:22:53.607,1788947573.6073,140,-973,-12.47,2291,29.37
2026-09-09T15:22:53.607,1788947573.6073,141,-1109,-14.22,2427,31.12
2026-09-09T15:22:53.623,1788947573.6234,142,1290,16.54,2427,31.12
2026-09-09T15:22:53.623,1788947573.6234,143,-1084,-13.9,2427,31.12
2026-09-09T15:22:53.623,1788947573.6234,144,-1000,-12.82,2399,30.76
2026-09-09T15:22:53.639,1788947573.6394,145,1262,16.18,2399,30.76
2026-09-09T15:22:53.639,1788947573.6394,146,21,0.27,2374,30.44
2026-09-09T15:22:53.655,1788947573.6554,147,-871,-11.17,2346,30.08
2026-09-09T15:22:53.655,1788947573.6554,148,1238,15.87,2262,29.0
2026-09-09T15:22:53.655,1788947573.6554,149,-139,-1.78,2133,27.35
2026-09-09T15:22:53.671,1788947573.6713,150,-730,-9.36,2109,27.04
