iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-09T14:58:19.989,1788946099.9898,1,-686,-8.79,1848,23.69
2026-09-09T14:58:19.995,1788946099.9950,2,1648,21.13,2778,35.62
2026-09-09T14:58:20.001,1788946100.0013,3,1858,23.82,2544,32.62
2026-09-09T14:58:20.004,1788946100.0045,4,195,2.5,2544,32.62
2026-09-09T14:58:20.012,1788946100.0123,5,1074,13.77,2544,32.62
2026-09-09T14:58:20.017,1788946100.0178,6,2456,31.49,2261,28.99
2026-09-09T14:58:20.023,1788946100.0239,7,1510,19.36,2261,28.99
2026-09-09T14:58:20.034,1788946100.0343,8,1514,19.41,2261,28.99
2026-09-09T14:58:20.039,1788946100.0395,9,2872,36.82,1798,23.05
2026-09-09T14:58:20.045,1788946100.0455,10,1355,17.37,1517,19.45
2026-09-09T14:58:20.051,1788946100.0515,11,1484,19.03,1517,19.45
2026-09-09T14:58:20.067,1788946100.0679,12,2674,34.28,1517,19.45
2026-09-09T14:58:20.068,1788946100.0689,13,952,12.21,1920,24.62
2026-09-09T14:58:20.083,1788946100.0831,14,352,4.51,2322,29.77
2026-09-09T14:58:20.084,1788946100.0845,15,2437,31.24,2322,29.77
2026-09-09T14:58:20.085,1788946100.0855,16,1608,20.62,2322,29.77
2026-09-09T14:58:20.089,1788946100.0895,17,16,0.21,2421,31.04
2026-09-09T14:58:20.095,1788946100.0957,18,1039,13.32,2421,31.04
2026-09-09T14:58:20.105,1788946100.1054,19,928,11.9,2421,31.04
2026-09-09T14:58:20.110,1788946100.1103,20,-296,-3.79,1904,24.41
2026-09-09T14:58:20.118,1788946100.1188,21,576,7.38,1335,17.12
2026-09-09T14:58:20.128,1788946100.1285,22,1277,16.37,1573,20.17
2026-09-09T14:58:20.136,1788946100.1365,23,-944,-12.1,2221,28.47
2026-09-09T14:58:20.136,1788946100.1365,24,339,4.35,2221,28.47
2026-09-09T14:58:20.136,1788946100.1365,25,934,11.97,2221,28.47
2026-09-09T14:58:20.144,1788946100.1444,26,-1233,-15.81,2510,32.18
2026-09-09T14:58:20.151,1788946100.1514,27,-964,-12.36,2167,27.78
2026-09-09T14:58:20.153,1788946100.1538,28,770,9.87,2167,27.78
2026-09-09T14:58:20.161,1788946100.1617,29,-365,-4.68,2167,27.78
2026-09-09T14:58:20.169,1788946100.1697,30,-934,-11.97,2003,25.68
2026-09-09T14:58:20.178,1788946100.1785,31,473,6.06,1734,22.23
2026-09-09T14:58:20.184,1788946100.1843,32,-595,-7.63,1704,21.85
2026-09-09T14:58:20.189,1788946100.1893,33,-1604,-20.56,2077,26.63
2026-09-09T14:58:20.195,1788946100.1958,34,362,4.64,2077,26.63
2026-09-09T14:58:20.200,1788946100.2009,35,-1048,-13.44,2077,26.63
2026-09-09T14:58:20.206,1788946100.2069,36,-2068,-26.51,2430,31.15
2026-09-09T14:58:20.213,1788946100.2132,37,-123,-1.58,2430,31.15
2026-09-09T14:58:20.227,1788946100.2274,38,-666,-8.54,2430,31.15
2026-09-09T14:58:20.227,1788946100.2274,39,-2872,-36.82,2749,35.24
2026-09-09T14:58:20.236,1788946100.2363,40,-2089,-26.78,2749,35.24
2026-09-09T14:58:20.236,1788946100.2363,41,-1605,-20.58,2749,35.24
2026-09-09T14:58:20.244,1788946100.2443,42,-3312,-42.46,2646,33.92
2026-09-09T14:58:20.252,1788946100.2527,43,-2223,-28.5,1707,21.88
2026-09-09T14:58:20.260,1788946100.2610,44,-1703,-21.83,1707,21.88
2026-09-09T14:58:20.269,1788946100.2695,45,-2752,-35.28,1707,21.88
2026-09-09T14:58:20.275,1788946100.2758,46,-2261,-28.99,1609,20.63
2026-09-09T14:58:20.277,1788946100.2778,47,-2466,-31.62,1049,13.45
2026-09-09T14:58:20.285,1788946100.2856,48,-3745,-48.01,2042,26.18
2026-09-09T14:58:20.293,1788946100.2938,49,-2714,-34.79,1484,19.03
2026-09-09T14:58:20.302,1788946100.3020,50,-1672,-21.44,2073,26.58
2026-09-09T14:58:20.304,1788946100.3040,51,-3064,-39.28,2073,26.58
2026-09-09T14:58:20.310,1788946100.3104,52,-874,-11.21,2871,36.81
2026-09-09T14:58:20.319,1788946100.3191,53,254,3.26,3318,42.54
2026-09-09T14:58:20.319,1788946100.3191,54,-1254,-16.08,3318,42.54
2026-09-09T14:58:20.329,1788946100.3298,55,-857,-10.99,3318,42.54
2026-09-09T14:58:20.335,1788946100.3353,56,1088,13.95,2342,30.03
2026-09-09T14:58:20.344,1788946100.3441,57,-120,-1.54,2342,30.03
2026-09-09T14:58:20.352,1788946100.3525,58,2556,32.77,3810,48.85
2026-09-09T14:58:20.352,1788946100.3525,59,5239,67.17,6096,78.15
2026-09-09T14:58:20.360,1788946100.3609,60,3734,47.87,5359,68.71
2026-09-09T14:58:20.368,1788946100.3684,61,2047,26.24,5359,68.71
2026-09-09T14:58:20.369,1788946100.3694,62,2847,36.5,3192,40.92
2026-09-09T14:58:20.384,1788946100.3840,63,751,9.63,4488,57.54
2026-09-09T14:58:20.386,1788946100.3862,64,-535,-6.86,4269,54.73
2026-09-09T14:58:20.393,1788946100.3934,65,1143,14.65,3382,43.36
2026-09-09T14:58:20.409,1788946100.4090,66,630,8.08,3382,43.36
2026-09-09T14:58:20.410,1788946100.4106,67,-1618,-20.74,2761,35.4
2026-09-09T14:58:20.417,1788946100.4173,68,-891,-11.42,2761,35.4
2026-09-09T14:58:20.420,1788946100.4208,69,-369,-4.73,2761,35.4
2026-09-09T14:58:20.427,1788946100.4273,70,-2533,-32.47,3163,40.55
2026-09-09T14:58:20.434,1788946100.4348,71,-1771,-22.71,2164,27.74
2026-09-09T14:58:20.443,1788946100.4434,72,-1569,-20.12,2164,27.74
2026-09-09T14:58:20.443,1788946100.4438,73,-2735,-35.06,2366,30.33
2026-09-09T14:58:20.458,1788946100.4589,74,-2264,-29.03,1166,14.95
2026-09-09T14:58:20.462,1788946100.4622,75,-1878,-24.08,1166,14.95
2026-09-09T14:58:20.468,1788946100.4687,76,-2859,-36.65,1290,16.54
2026-09-09T14:58:20.468,1788946100.4687,77,-1716,-22.0,1143,14.65
2026-09-09T14:58:20.479,1788946100.4792,78,-601,-7.71,2258,28.95
2026-09-09T14:58:20.485,1788946100.4857,79,-2014,-25.82,2258,28.95
2026-09-09T14:58:20.485,1788946100.4857,80,-1534,-19.67,2258,28.95
2026-09-09T14:58:20.493,1788946100.4934,81,1967,25.22,3981,51.04
2026-09-09T14:58:20.502,1788946100.5023,82,1320,16.92,3981,51.04
2026-09-09T14:58:20.510,1788946100.5108,83,1967,25.22,3981,51.04
2026-09-09T14:58:20.520,1788946100.5202,84,4533,58.12,6067,77.78
2026-09-09T14:58:20.525,1788946100.5252,85,3651,46.81,3213,41.19
2026-09-09T14:58:20.533,1788946100.5336,86,3202,41.05,3213,41.19
2026-09-09T14:58:20.542,1788946100.5430,87,4618,59.21,2651,33.99
2026-09-09T14:58:20.547,1788946100.5476,88,3848,49.33,1416,18.15
2026-09-09T14:58:20.552,1788946100.5523,89,3134,40.18,1484,19.03
2026-09-09T14:58:20.552,1788946100.5529,90,4274,54.79,1484,19.03
2026-09-09T14:58:20.564,1788946100.5641,91,2737,35.09,1881,24.12
2026-09-09T14:58:20.568,1788946100.5690,92,1467,18.81,2807,35.99
2026-09-09T14:58:20.579,1788946100.5796,93,2866,36.74,2807,35.99
2026-09-09T14:58:20.585,1788946100.5855,94,2331,29.88,2807,35.99
2026-09-09T14:58:20.585,1788946100.5855,95,-130,-1.67,2996,38.41
2026-09-09T14:58:20.604,1788946100.6045,96,1533,19.65,2996,38.41
2026-09-09T14:58:20.609,1788946100.6096,97,903,11.58,2996,38.41
2026-09-09T14:58:20.616,1788946100.6169,98,-1148,-14.72,3479,44.6
2026-09-09T14:58:20.618,1788946100.6189,99,-287,-3.68,2681,34.37
2026-09-09T14:58:20.618,1788946100.6189,100,247,3.17,2681,34.37
2026-09-09T14:58:20.625,1788946100.6252,101,-798,-10.23,2051,26.29
2026-09-09T14:58:20.634,1788946100.6345,102,-442,-5.67,1395,17.88
2026-09-09T14:58:20.644,1788946100.6444,103,-114,-1.46,1045,13.4
2026-09-09T14:58:20.662,1788946100.6621,104,-1138,-14.59,1385,17.76
2026-09-09T14:58:20.662,1788946100.6621,105,-499,-6.4,1024,13.13
2026-09-09T14:58:20.668,1788946100.6687,106,450,5.77,1588,20.36
2026-09-09T14:58:20.676,1788946100.6764,107,-1342,-17.21,1792,22.97
2026-09-09T14:58:20.684,1788946100.6849,108,-343,-4.4,1792,22.97
2026-09-09T14:58:20.693,1788946100.6930,109,459,5.88,1801,23.09
2026-09-09T14:58:20.702,1788946100.7025,110,-1382,-17.72,1841,23.6
2026-09-09T14:58:20.708,1788946100.7083,111,-1272,-16.31,1841,23.6
2026-09-09T14:58:20.709,1788946100.7097,112,625,8.01,2007,25.73
2026-09-09T14:58:20.709,1788946100.7097,113,-309,-3.96,2007,25.73
2026-09-09T14:58:20.718,1788946100.7185,114,-800,-10.26,2007,25.73
2026-09-09T14:58:20.721,1788946100.7215,115,1109,14.22,2381,30.53
2026-09-09T14:58:20.721,1788946100.7215,116,205,2.63,1909,24.47
2026-09-09T14:58:20.730,1788946100.7307,117,-42,-0.54,1909,24.47
2026-09-09T14:58:20.735,1788946100.7353,118,1378,17.67,2178,27.92
2026-09-09T14:58:20.741,1788946100.7417,119,591,7.58,1420,18.21
2026-09-09T14:58:20.743,1788946100.7436,120,-243,-3.12,1621,20.78
2026-09-09T14:58:20.758,1788946100.7584,121,1788,22.92,2031,26.04
2026-09-09T14:58:20.762,1788946100.7625,122,686,8.79,2031,26.04
2026-09-09T14:58:20.767,1788946100.7680,123,-140,-1.79,2031,26.04
2026-09-09T14:58:20.776,1788946100.7764,124,2157,27.65,2400,30.77
2026-09-09T14:58:20.778,1788946100.7789,125,1857,23.81,2297,29.45
2026-09-09T14:58:20.791,1788946100.7914,126,206,2.64,2297,29.45
2026-09-09T14:58:20.793,1788946100.7934,127,1262,16.18,2297,29.45
2026-09-09T14:58:20.802,1788946100.8021,128,2266,29.05,2060,26.41
2026-09-09T14:58:20.802,1788946100.8021,129,1445,18.53,2060,26.41
2026-09-09T14:58:20.812,1788946100.8122,130,2156,27.64,2060,26.41
2026-09-09T14:58:20.817,1788946100.8176,131,2734,35.05,1472,18.87
2026-09-09T14:58:20.831,1788946100.8314,132,2264,29.03,1289,16.53
2026-09-09T14:58:20.835,1788946100.8351,133,4217,54.06,2772,35.54
2026-09-09T14:58:20.843,1788946100.8433,134,5396,69.18,3240,41.54
2026-09-09T14:58:20.850,1788946100.8504,135,3094,39.67,3132,40.15
2026-09-09T14:58:20.854,1788946100.8543,136,2662,34.13,3132,40.15
2026-09-09T14:58:20.862,1788946100.8624,137,3659,46.91,2734,35.05
2026-09-09T14:58:20.867,1788946100.8679,138,996,12.77,4400,56.41
2026-09-09T14:58:20.867,1788946100.8679,139,832,10.67,2827,36.24
2026-09-09T14:58:20.876,1788946100.8761,140,1878,24.08,2827,36.24
2026-09-09T14:58:20.884,1788946100.8845,141,530,6.79,3129,40.12
2026-09-09T14:58:20.891,1788946100.8915,142,-358,-4.59,2236,28.67
2026-09-09T14:58:20.893,1788946100.8935,143,672,8.62,2236,28.67
2026-09-09T14:58:20.901,1788946100.9016,144,-442,-5.67,2320,29.74
2026-09-09T14:58:20.901,1788946100.9016,145,-1372,-17.59,2044,26.21
2026-09-09T14:58:20.917,1788946100.9173,146,177,2.27,2044,26.21
2026-09-09T14:58:20.923,1788946100.9231,147,-1116,-14.31,2044,26.21
2026-09-09T14:58:20.928,1788946100.9286,148,-1908,-24.46,2085,26.73
2026-09-09T14:58:20.936,1788946100.9366,149,-227,-2.91,2085,26.73
2026-09-09T14:58:20.943,1788946100.9430,150,-526,-6.74,2085,26.73
2026-09-09T14:58:20.943,1788946100.9430,151,-2262,-29.0,2035,26.09
2026-09-09T14:58:20.951,1788946100.9510,152,-387,-4.96,2035,26.09
2026-09-09T14:58:20.959,1788946100.9598,153,-861,-11.04,2035,26.09
2026-09-09T14:58:20.967,1788946100.9676,154,-2363,-30.29,1976,25.33
2026-09-09T14:58:20.975,1788946100.9756,155,-1458,-18.69,1976,25.33
2026-09-09T14:58:20.975,1788946100.9759,156,-995,-12.76,1976,25.33
2026-09-09T14:58:20.984,1788946100.9850,157,-2247,-28.81,1502,19.26
2026-09-09T14:58:20.984,1788946100.9850,158,-1303,-16.71,1368,17.54
2026-09-09T14:58:21.000,1788946101.0005,159,-1016,-13.03,1252,16.05
2026-09-09T14:58:21.011,1788946101.0115,160,-1820,-23.33,1252,16.05
2026-09-09T14:58:21.017,1788946101.0175,161,-1081,-13.86,1231,15.78
2026-09-09T14:58:21.026,1788946101.0266,162,-1032,-13.23,804,10.31
2026-09-09T14:58:21.034,1788946101.0348,163,-1828,-23.44,812,10.41
2026-09-09T14:58:21.041,1788946101.0411,164,-810,-10.38,1018,13.05
2026-09-09T14:58:21.042,1788946101.0425,165,-154,-1.97,1674,21.46
2026-09-09T14:58:21.050,1788946101.0509,166,-1774,-22.74,1674,21.46
2026-09-09T14:58:21.058,1788946101.0589,167,-588,-7.54,1674,21.46
2026-09-09T14:58:21.062,1788946101.0625,168,-114,-1.46,1660,21.28
2026-09-09T14:58:21.068,1788946101.0682,169,-1726,-22.13,1660,21.28
2026-09-09T14:58:21.068,1788946101.0682,170,-1423,-18.24,1660,21.28
2026-09-09T14:58:21.076,1788946101.0763,171,-32,-0.41,1694,21.72
2026-09-09T14:58:21.085,1788946101.0851,172,-1644,-21.08,1694,21.72
2026-09-09T14:58:21.094,1788946101.0947,173,-1197,-15.35,1694,21.72
2026-09-09T14:58:21.096,1788946101.0967,174,0,0.0,1644,21.08
2026-09-09T14:58:21.103,1788946101.1037,175,-920,-11.79,1644,21.08
