iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-10T10:39:13.993,1789016953.9936,1,-448,-5.74,3836,49.18
2026-09-10T10:39:13.999,1789016953.9996,2,1330,17.05,3603,46.19
2026-09-10T10:39:14.003,1789016954.0036,3,-751,-9.63,3603,46.19
2026-09-10T10:39:14.011,1789016954.0113,4,-2244,-28.77,3574,45.82
2026-09-10T10:39:14.013,1789016954.0133,5,-263,-3.37,3574,45.82
2026-09-10T10:39:14.037,1789016954.0373,6,1086,13.92,3330,42.69
2026-09-10T10:39:14.041,1789016954.0419,7,-1054,-13.51,3330,42.69
2026-09-10T10:39:14.043,1789016954.0439,8,-2182,-27.97,3268,41.9
2026-09-10T10:39:14.050,1789016954.0504,9,-113,-1.45,3268,41.9
2026-09-10T10:39:14.051,1789016954.0519,10,1975,25.32,4157,53.29
2026-09-10T10:39:14.058,1789016954.0590,11,-1392,-17.85,4157,53.29
2026-09-10T10:39:14.060,1789016954.0610,12,-2078,-26.64,4053,51.96
2026-09-10T10:39:14.062,1789016954.0630,13,6,0.08,4053,51.96
2026-09-10T10:39:14.065,1789016954.0660,14,1938,24.85,4016,51.49
2026-09-10T10:39:14.070,1789016954.0701,15,-1772,-22.72,4016,51.49
2026-09-10T10:39:14.073,1789016954.0731,16,-1921,-24.63,3859,49.47
2026-09-10T10:39:14.075,1789016954.0751,17,222,2.85,3859,49.47
2026-09-10T10:39:14.082,1789016954.0822,18,1953,25.04,3874,49.67
2026-09-10T10:39:14.087,1789016954.0872,19,338,4.33,3874,49.67
2026-09-10T10:39:14.090,1789016954.0902,20,-1739,-22.29,3692,47.33
2026-09-10T10:39:14.093,1789016954.0932,21,419,5.37,3692,47.33
2026-09-10T10:39:14.099,1789016954.0992,22,1942,24.9,3681,47.19
2026-09-10T10:39:14.102,1789016954.1022,23,146,1.87,3681,47.19
2026-09-10T10:39:14.108,1789016954.1087,24,-1421,-18.22,3363,43.12
2026-09-10T10:39:14.114,1789016954.1147,25,788,10.1,3363,43.12
2026-09-10T10:39:14.124,1789016954.1250,26,2005,25.71,3426,43.92
2026-09-10T10:39:14.125,1789016954.1260,27,53,0.68,3426,43.92
2026-09-10T10:39:14.135,1789016954.1350,28,-1074,-13.77,3079,39.47
2026-09-10T10:39:14.137,1789016954.1375,29,1162,14.9,3079,39.47
2026-09-10T10:39:14.140,1789016954.1406,30,1926,24.69,3000,38.46
2026-09-10T10:39:14.144,1789016954.1446,31,-182,-2.33,3000,38.46
2026-09-10T10:39:14.151,1789016954.1516,32,-2397,-30.73,4323,55.42
2026-09-10T10:39:14.153,1789016954.1536,33,1460,18.72,4323,55.42
2026-09-10T10:39:14.163,1789016954.1636,34,1706,21.87,4103,52.6
2026-09-10T10:39:14.167,1789016954.1676,35,-409,-5.24,4103,52.6
2026-09-10T10:39:14.169,1789016954.1696,36,-2447,-31.37,4153,53.24
2026-09-10T10:39:14.173,1789016954.1736,37,1713,21.96,4160,53.33
2026-09-10T10:39:14.181,1789016954.1817,38,1538,19.72,4160,53.33
2026-09-10T10:39:14.185,1789016954.1857,39,-628,-8.05,4160,53.33
2026-09-10T10:39:14.188,1789016954.1883,40,-2365,-30.32,4078,52.28
2026-09-10T10:39:14.196,1789016954.1968,41,-400,-5.13,3903,50.04
2026-09-10T10:39:14.198,1789016954.1984,42,1362,17.46,3727,47.78
2026-09-10T10:39:14.207,1789016954.2076,43,-799,-10.24,3727,47.78
2026-09-10T10:39:14.208,1789016954.2087,44,-2236,-28.67,3598,46.13
2026-09-10T10:39:14.220,1789016954.2204,45,-107,-1.37,3598,46.13
2026-09-10T10:39:14.223,1789016954.2234,46,1173,15.04,3409,43.71
2026-09-10T10:39:14.226,1789016954.2264,47,-1000,-12.82,3409,43.71
2026-09-10T10:39:14.233,1789016954.2334,48,-2092,-26.82,3265,41.86
2026-09-10T10:39:14.235,1789016954.2354,49,128,1.64,3265,41.86
2026-09-10T10:39:14.242,1789016954.2425,50,2240,28.72,4332,55.54
2026-09-10T10:39:14.244,1789016954.2444,51,-1249,-16.01,4332,55.54
2026-09-10T10:39:14.250,1789016954.2504,52,-1908,-24.46,4148,53.18
2026-09-10T10:39:14.252,1789016954.2525,53,371,4.76,4148,53.18
2026-09-10T10:39:14.259,1789016954.2595,54,2326,29.82,4234,54.28
2026-09-10T10:39:14.264,1789016954.2645,55,-1530,-19.62,4234,54.28
2026-09-10T10:39:14.268,1789016954.2685,56,-1684,-21.59,4010,51.41
2026-09-10T10:39:14.274,1789016954.2745,57,614,7.87,4010,51.41
2026-09-10T10:39:14.278,1789016954.2785,58,2360,30.26,4044,51.85
2026-09-10T10:39:14.290,1789016954.2905,59,667,8.55,4044,51.85
2026-09-10T10:39:14.294,1789016954.2945,60,-1393,-17.86,3753,48.12
2026-09-10T10:39:14.297,1789016954.2970,61,872,11.18,3753,48.12
2026-09-10T10:39:14.304,1789016954.3040,62,2409,30.88,3802,48.74
2026-09-10T10:39:14.305,1789016954.3050,63,580,7.44,3802,48.74
2026-09-10T10:39:14.311,1789016954.3116,64,-1059,-13.58,3468,44.46
2026-09-10T10:39:14.316,1789016954.3164,65,1205,15.45,3468,44.46
2026-09-10T10:39:14.324,1789016954.3245,66,2448,31.38,3507,44.96
2026-09-10T10:39:14.325,1789016954.3255,67,467,5.99,3507,44.96
2026-09-10T10:39:14.333,1789016954.3335,68,-747,-9.58,3195,40.96
2026-09-10T10:39:14.335,1789016954.3355,69,1516,19.44,3195,40.96
2026-09-10T10:39:14.339,1789016954.3390,70,2438,31.26,3185,40.83
2026-09-10T10:39:14.346,1789016954.3460,71,376,4.82,3185,40.83
2026-09-10T10:39:14.348,1789016954.3480,72,-2013,-25.81,4451,57.06
2026-09-10T10:39:14.356,1789016954.3560,73,1904,24.41,4451,57.06
2026-09-10T10:39:14.358,1789016954.3581,74,2417,30.99,4430,56.79
2026-09-10T10:39:14.366,1789016954.3660,75,271,3.47,4430,56.79
2026-09-10T10:39:14.373,1789016954.3731,76,-1882,-24.13,4299,55.12
2026-09-10T10:39:14.374,1789016954.3741,77,2338,29.97,4299,55.12
2026-09-10T10:39:14.383,1789016954.3833,78,2321,29.76,4220,54.1
2026-09-10T10:39:14.384,1789016954.3843,79,168,2.15,4220,54.1
2026-09-10T10:39:14.390,1789016954.3903,80,-1773,-22.73,4111,52.71
2026-09-10T10:39:14.393,1789016954.3933,81,226,2.9,4094,52.49
2026-09-10T10:39:14.403,1789016954.4033,82,2259,28.96,4032,51.69
2026-09-10T10:39:14.406,1789016954.4063,83,98,1.26,4032,51.69
2026-09-10T10:39:14.409,1789016954.4094,84,-1574,-20.18,3833,49.14
2026-09-10T10:39:14.416,1789016954.4164,85,588,7.54,3833,49.14
2026-09-10T10:39:14.419,1789016954.4194,86,2218,28.44,3792,48.62
2026-09-10T10:39:14.426,1789016954.4264,87,-15,-0.19,3792,48.62
2026-09-10T10:39:14.432,1789016954.4320,88,-1363,-17.47,3581,45.91
2026-09-10T10:39:14.433,1789016954.4330,89,922,11.82,3581,45.91
2026-09-10T10:39:14.439,1789016954.4396,90,3255,41.73,4618,59.21
2026-09-10T10:39:14.443,1789016954.4431,91,-210,-2.69,4618,59.21
2026-09-10T10:39:14.457,1789016954.4571,92,-1145,-14.68,4400,56.41
2026-09-10T10:39:14.462,1789016954.4627,93,1219,15.63,4400,56.41
2026-09-10T10:39:14.466,1789016954.4667,94,3434,44.03,4579,58.71
